model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
deepseek,L1,9,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,9,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L1,10,code,113,0.7675,0.7788,0.7753,0.853,0.7788,0.7679,Substantial,1.0
deepseek,L1,10,theme,113,0.8893,0.8938,0.8942,0.8971,0.8938,0.867,Almost Perfect,1.0
deepseek,L2,1,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,1,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,2,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,2,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,3,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,3,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,4,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,4,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,5,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,5,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,6,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,6,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
deepseek,L2,7,code,113,0.7622,0.7699,0.7768,0.8548,0.7699,0.7589,Substantial,1.0
deepseek,L2,7,theme,113,0.8926,0.8761,0.8789,0.8915,0.8761,0.8439,Almost Perfect,1.0
